data	zs	data.1	zs.1	data.2	zs.2	data.3	zs.3	data.4	zs.4	data.5	zs.5	data.6	zs.6	data.7	zs.7	data.8	zs.8	data.9	zs.9
14384.53887	-0.0184931680384177	14384.53887	-0.0194955143702869	14384.53887	-0.0194928410676838	14384.53887	-0.0194448853850395	14384.53887	-0.0185635097613369	14384.53887	-0.00265056371736806	14384.53887	-0.0318231196355046	14384.53887	-0.154602539033392	14384.53887	-0.36859038152578	14384.53887	-0.399639444857562
14379.28792	-0.0184931680384177	14379.28792	-0.0194955143728642	14379.28792	-0.0194928411138464	14379.28792	-0.0194448862118614	14379.28792	-0.0185635245505133	14379.28792	-0.0026507572668728	14379.28792	-0.0318265987661956	14379.28792	-0.154642412702217	14379.28792	-0.368689718610014	14379.28792	-0.399764531488478
14366.11969	-0.0184931680384177	14366.11969	-0.0194955143793275	14366.11969	-0.019492841229612	14366.11969	-0.0194448882853493	14366.11969	-0.0185635616385215	14366.11969	-0.00265124264654597	14366.11969	-0.0318353236622883	14366.11969	-0.154742407111235	14366.11969	-0.368938834212473	14366.11969	-0.400078221301907
14356.1272	-0.0184931680384177	14356.1272	-0.0194955143842321	14356.1272	-0.0194928413174588	14356.1272	-0.0194448898587808	14356.1272	-0.0185635897821331	14356.1272	-0.00265161096875255	14356.1272	-0.0318419444030377	14356.1272	-0.154818286187783	14356.1272	-0.36912787140019	14356.1272	-0.400316259544237
14343.36778	-0.0184931680384177	14343.36778	-0.0194955143904948	14343.36778	-0.0194928414296304	14343.36778	-0.0194448918678969	14343.36778	-0.0185636257187375	14343.36778	-0.002652081279729	14343.36778	-0.0318503984332076	14343.36778	-0.15491517625291	14343.36778	-0.369369253165265	14343.36778	-0.400620210802627
14287.62929	-0.0184931680384177	14287.62929	-0.0194955144178527	14287.62929	-0.0194928419196432	14287.62929	-0.0194449006445575	14287.62929	-0.0185637827048754	14287.62929	-0.00265413579503282	14287.62929	-0.0318873291774017	14287.62929	-0.155338432633388	14287.62929	-0.370423709801918	14287.62929	-0.401947997189175
14246.9994	-0.0184931680384177	14246.9994	-0.019495514437795	14246.9994	-0.019492842276832	14246.9994	-0.0194449070421968	14246.9994	-0.018563897137999	14246.9994	-0.00265563340881456	14246.9994	-0.0319142493913189	14246.9994	-0.155646960190927	14246.9994	-0.37119234305978	14246.9994	-0.402915870822439
14205.10109	-0.0184931680384177	14205.10109	-0.0194955144583598	14205.10109	-0.0194928426451719	14205.10109	-0.0194449136395634	14205.10109	-0.0185640151435975	14205.10109	-0.00265717777643376	14205.10109	-0.031942010024389	14205.10109	-0.155965119635841	14205.10109	-0.371984972193509	14205.10109	-0.403913960394606
14174.85222	-0.0184931680384177	14174.85222	-0.0194955144732068	14174.85222	-0.0194928429110982	14174.85222	-0.0194449184025927	14174.85222	-0.018564100338824	14174.85222	-0.00265829274683102	14174.85222	-0.0319620520685874	14174.85222	-0.156194817771362	14174.85222	-0.372557218081813	14174.85222	-0.404634540334868
14110.76972	-0.0184931680384177	14110.76972	-0.0194955145046602	14110.76972	-0.0194928434744655	14110.76972	-0.0194449284931128	14110.76972	-0.0185642808256686	14110.76972	-0.00266065482152943	14110.76972	-0.0320045113173904	14110.76972	-0.156681435313423	14110.76972	-0.373769526083309	14110.76972	-0.406161095344089
14095.4833	-0.0184931680384177	14095.4833	-0.0194955145121632	14095.4833	-0.0194928436088527	14095.4833	-0.0194449309001339	14095.4833	-0.0185643238795087	14095.4833	-0.00266121827747936	14095.4833	-0.032014639666161	14095.4833	-0.156797514432173	14095.4833	-0.374058713447726	14095.4833	-0.406525244074618
14065.151	-0.0184931680384177	14065.151	-0.0194955145270511	14065.151	-0.0194928438755125	14065.151	-0.0194449356763003	14065.151	-0.0185644093097138	14065.151	-0.00266233632309829	14065.151	-0.0320347369887134	14065.151	-0.157027846102615	14065.151	-0.374632537658607	14065.151	-0.407247811460506
14055.4743	-0.0184931680384177	14055.4743	-0.0194955145318007	14055.4743	-0.0194928439605831	14055.4743	-0.019444937200007	14055.4743	-0.0185644365639103	14055.4743	-0.00266269300531627	14055.4743	-0.0320411484959563	14055.4743	-0.157101327192916	14055.4743	-0.37481560075443	14055.4743	-0.407478327043664
14048.99306	-0.0184931680384177	14048.99306	-0.0194955145349818	14048.99306	-0.0194928440175615	14048.99306	-0.0194449382205522	14048.99306	-0.0185644548181694	14048.99306	-0.0026629319031904	14048.99306	-0.0320454427819425	14048.99306	-0.15715054320475	14048.99306	-0.374938212374008	14048.99306	-0.407632721291516
14045.45131	-0.0184931680384177	14045.45131	-0.0194955145367202	14045.45131	-0.0194928440486981	14045.45131	-0.0194449387782411	14045.45131	-0.0185644647934244	14045.45131	-0.00266306245174988	14045.45131	-0.0320477894451415	14045.45131	-0.157177437874583	14045.45131	-0.375005214938894	14045.45131	-0.407717091848282
13996.46587	-0.0184931680384177	13996.46587	-0.0194955145607636	13996.46587	-0.0194928444793429	13996.46587	-0.019444946491557	13996.46587	-0.0185646027597569	13996.46587	-0.00266486805028949	13996.46587	-0.0320802458097448	13996.46587	-0.15754941422397	13996.46587	-0.375931917874466	13996.46587	-0.408884009006803
13934.11354	-0.0184931680384177	13934.11354	-0.0194955145913678	13934.11354	-0.0194928450274998	13934.11354	-0.0194449563096421	13934.11354	-0.0185647783736186	13934.11354	-0.00266716635109049	13934.11354	-0.032121558696928	13934.11354	-0.158022893529027	13934.11354	-0.377111494647703	13934.11354	-0.410369348400524
13921.55236	-0.0184931680384177	13921.55236	-0.0194955145975332	13921.55236	-0.0194928451379286	13921.55236	-0.0194449582875431	13921.55236	-0.0185648137518848	13921.55236	-0.00266762935495988	13921.55236	-0.0321298813788908	13921.55236	-0.158118278236818	13921.55236	-0.377349126123102	13921.55236	-0.410668577242263
13867.94662	-0.0184931680384177	13867.94662	-0.0194955146238443	13867.94662	-0.0194928456091918	13867.94662	-0.0194449667283779	13867.94662	-0.0185649647311828	13867.94662	-0.00266960525730676	13867.94662	-0.0321653990233636	13867.94662	-0.158525339344595	13867.94662	-0.378363235552792	13867.94662	-0.411945557867551
13849.03688	-0.0184931680384177	13849.03688	-0.0194955146331257	13849.03688	-0.0194928457754326	13849.03688	-0.019444969705932	13849.03688	-0.018565017990018	13849.03688	-0.00267030226847842	13849.03688	-0.0321779280813039	13849.03688	-0.158668932543984	13849.03688	-0.37872096861733	13849.03688	-0.412396020292084
13820.19597	-0.0184931680384177	13820.19597	-0.0194955146472816	13820.19597	-0.0194928460289812	13820.19597	-0.019444974247262	13820.19597	-0.0185650992197584	13820.19597	-0.00267136534160743	13820.19597	-0.0321970372510991	13820.19597	-0.158887939179727	13820.19597	-0.379266578822353	13820.19597	-0.413083060211422
13797.402	-0.0184931680384177	13797.402	-0.0194955146584695	13797.402	-0.0194928462293694	13797.402	-0.0194449778364324	13797.402	-0.0185651634184354	13797.402	-0.00267220552511796	13797.402	-0.0322121398897826	13797.402	-0.159061027708658	13797.402	-0.379697793463119	13797.402	-0.413626051653447
13797.03104	-0.0184931680384177	13797.03104	-0.0194955146586516	13797.03104	-0.0194928462326306	13797.03104	-0.0194449778948443	13797.03104	-0.0185651644632355	13797.03104	-0.00267221919866737	13797.03104	-0.0322123856773679	13797.03104	-0.159063844634393	13797.03104	-0.379704811256998	13797.03104	-0.413634888556599
13759.04236	-0.0184931680384177	13759.04236	-0.0194955146772975	13759.04236	-0.0194928465665998	13759.04236	-0.019444983876595	13759.04236	-0.0185652714574536	13759.04236	-0.00267361945770618	13759.04236	-0.0322375559003745	13759.04236	-0.159352315872059	13759.04236	-0.380423478299175	13759.04236	-0.414539844039729
13752.50383	-0.0184931680384177	13752.50383	-0.0194955146805068	13752.50383	-0.0194928466240819	13752.50383	-0.0194449849061611	13752.50383	-0.0185652898730686	13752.50383	-0.00267386046728411	13752.50383	-0.0322418881450915	13752.50383	-0.159401966921835	13752.50383	-0.380547173726741	13752.50383	-0.414695603033596
13742.26112	-0.0184931680384177	13742.26112	-0.0194955146855342	13742.26112	-0.0194928467141284	13742.26112	-0.0194449865189925	13742.26112	-0.0185653187214189	13742.26112	-0.00267423801257548	13742.26112	-0.0322486746745232	13742.26112	-0.159479746071591	13742.26112	-0.380740944557935	13742.26112	-0.414939601945288
13737.20072	-0.0184931680384177	13737.20072	-0.0194955146880179	13737.20072	-0.0194928467586158	13737.20072	-0.0194449873158102	13737.20072	-0.0185653329739158	13737.20072	-0.00267442453842581	13737.20072	-0.0322520275521831	13737.20072	-0.159518172777944	13737.20072	-0.380836676831345	13737.20072	-0.415060149348536
13707.3445	-0.0184931680384177	13707.3445	-0.0194955147026722	13707.3445	-0.0194928470210903	13707.3445	-0.0194449920170124	13707.3445	-0.0185654170632528	13707.3445	-0.00267552503578238	13707.3445	-0.0322718094376167	13707.3445	-0.159744889282319	13707.3445	-0.381401494595952	13707.3445	-0.415771375692662
13701.48302	-0.0184931680384177	13701.48302	-0.0194955147055492	13701.48302	-0.0194928470726202	13701.48302	-0.0194449929399692	13701.48302	-0.0185654335719725	13701.48302	-0.00267574108936336	13701.48302	-0.0322756930881871	13701.48302	-0.159789399078136	13701.48302	-0.381512381641629	13701.48302	-0.415911006194834
13609.12088	-0.0184931680384177	13609.12088	-0.019495514750883	13609.12088	-0.0194928478846018	13609.12088	-0.019445007483441	13609.12088	-0.0185656937077538	13609.12088	-0.00267914554883335	13609.12088	-0.0323368896251861	13609.12088	-0.160490761190199	13609.12088	-0.383259681783748	13609.12088	-0.418111230709787
13570.06112	-0.0184931680384177	13570.06112	-0.0194955147700546	13570.06112	-0.0194928482279871	13570.06112	-0.0194450136338454	13570.06112	-0.0185658037186434	13570.06112	-0.00268058528777646	13570.06112	-0.032362769515453	13570.06112	-0.160787365792153	13570.06112	-0.383998611438249	13570.06112	-0.419041701154713
